pid	trial_id	TimeStamp	GazePointXLeft	GazePointYLeft	ValidityLeft	GazePointXRight	GazePointYRight	ValidityRight	GazePointX	GazePoint
4	528	466.3	849.1124	586.2070	0	846.5414	600.2902	0	847.8269	593.248
4	528	482.9	849.9560	576.5744	0	845.9078	593.4325	0	847.9319	585.003
4	528	499.5	842.8488	565.3289	0	841.7343	592.6700	0	842.2915	578.999
4	528	516.1	850.1389	580.7567	0	840.8116	592.9251	0	845.4753	586.840
4	528	532.9	848.1455	576.9861	0	847.1742	597.4997	0	847.6598	587.242
4	528	549.5	849.7524	578.9060	0	843.4450	593.0195	0	846.5987	585.962
4	528	566.1	843.5851	591.8937	0	843.4621	585.7170	0	843.5236	588.805
4	528	582.8	845.8112	590.0018	0	836.4859	597.3593	0	841.1486	593.680
4	528	599.5	844.7141	719.8387	0	844.3257	722.5031	0	844.5199	721.170
4	528	616.1	844.4347	774.7948	0	851.9539	799.2952	0	848.1943	787.045
4	528	632.7	851.4759	775.4876	0	839.3040	794.0259	0	845.3899	784.756
4	528	649.4	843.0439	797.3527	0	830.8947	806.5625	0	836.9693	801.957
4	528	666.1	829.3075	788.9049	0	837.2449	805.2356	0	833.2762	797.070
4	528	682.7	832.9911	790.3127	0	828.9368	808.1862	0	830.9639	799.249
4	528	699.3	835.8002	815.3372	0	836.5195	804.9915	0	836.1598	810.164
4	528	716.0	840.5762	786.5647	0	838.6839	816.1486	0	839.6301	801.356
4	528	732.7	831.5718	800.0728	0	849.2109	794.0816	0	840.3914	797.077
4	528	749.3	838.1916	807.2869	0	839.9419	802.1760	0	839.0668	804.731
4	528	766.0	832.7284	782.3735	0	840.9357	799.7813	0	836.8320	791.077
4	528	782.6	828.0268	791.7268	0	845.2490	791.6474	0	836.6379	791.687
4	528	799.3	836.7710	809.9504	0	835.9544	796.9776	0	836.3627	803.464
4	528	815.9	849.8080	778.0798	0	841.5362	803.9735	0	845.6721	791.026
4	528	832.6	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	528	849.3	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	528	865.9	-1.0000	-1.0000	4	-1.0000	-1.0000	4	-1.0000	-1.000
4	528	882.6	959.1046	445.4692	0	969.8641	447.9250	0	964.4844	446.697
4	528	899.2	964.4930	443.9410	0	969.6671	436.3369	0	967.0801	440.139
4	528	915.8	966.4588	436.7205	0	979.8934	435.1421	0	973.1761	435.931
4	528	932.5	964.4897	449.4562	0	976.0853	449.9390	0	970.2875	449.697
4	528	949.2	970.2150	445.0892	0	969.3684	450.4682	0	969.7917	447.778
4	528	965.8	966.8421	445.3143	0	975.5262	454.9244	0	971.1841	450.119
4	528	982.4	970.1728	451.2628	0	968.9584	454.0917	0	969.5656	452.677
4	529	0.0	938.1615	599.2994	0	952.2721	599.9619	0	945.2168	599.630
4	529	16.8	937.4586	603.3531	0	958.6187	593.8020	0	948.0387	598.577
4	529	33.4	949.7628	603.2196	0	952.7926	601.0564	0	951.2777	602.138
4	529	50.0	954.8428	595.7994	0	955.3906	604.0259	0	955.1167	599.912
4	529	66.6	942.4244	593.8957	0	952.1004	602.3577	0	947.2624	598.126
4	529	83.4	949.9906	597.6647	0	956.1884	606.6697	0	953.0895	602.167
4	529	100.0	941.1799	595.2002	0	954.4971	601.6396	0	947.8385	598.419
4	529	116.6	945.0745	605.3393	0	950.2787	604.3483	0	947.6766	604.843
4	529	133.2	943.0805	601.4030	0	953.1597	611.6618	0	948.1201	606.532
4	529	150.0	939.9086	616.5154	0	955.6346	606.8510	0	947.7716	611.683
4	529	166.6	942.7123	609.6681	0	949.8444	611.5895	0	946.2783	610.628
4	529	183.2	934.9930	602.8932	0	946.9725	608.7799	0	940.9828	605.836
